Strategy,Load_Factor,Time_ns,Collisions
Linear,0.05,5519,12
Linear,0.1,13536,45
Linear,0.15,22459,117
Linear,0.2,23583,235
Linear,0.25,30723,396
Linear,0.3,39427,592
Linear,0.35,49519,859
Linear,0.4,60361,1165
Linear,0.45,74527,1613
Linear,0.5,112332,2010
Linear,0.55,116296,2917
Linear,0.6,157269,3876
Linear,0.65,134994,4985
Linear,0.7,175351,6401
Linear,0.75,161244,8239
Linear,0.8,187775,11225
Linear,0.85,806522,16885
Linear,0.9,275893,24532
Quadratic,0.05,4715,15
Quadratic,0.1,9354,52
Quadratic,0.15,15119,136
Quadratic,0.2,21081,245
Quadratic,0.25,27604,352
Quadratic,0.3,35183,529
Quadratic,0.35,44258,767
Quadratic,0.4,52925,1070
Quadratic,0.45,61858,1336
Quadratic,0.5,111121,1879
Quadratic,0.55,128014,2376
Quadratic,0.6,113527,3157
Quadratic,0.65,148614,3851
Quadratic,0.7,140662,4573
Quadratic,0.75,166493,6172
Quadratic,0.8,187872,7297
Quadratic,0.85,213828,9225
Quadratic,0.9,255274,11759
Double,0.05,3922,13
Double,0.1,8512,74
Double,0.15,13126,152
Double,0.2,27776,334
Double,0.25,24997,520
Double,0.3,31272,793
Double,0.35,39196,1245
Double,0.4,47740,1675
Double,0.45,58091,2022
Double,0.5,69444,2670
Double,0.55,89336,3460
Double,0.6,122661,4359
Double,0.65,108539,5357
Double,0.7,121299,6361
Double,0.75,138435,7669
Double,0.8,157374,9641
Double,0.85,177683,11581
Double,0.9,212123,14638
Chaining,0.05,2911,9
Chaining,0.1,14643,41
Chaining,0.15,13376,97
Chaining,0.2,17638,180
Chaining,0.25,20706,252
Chaining,0.3,29066,382
Chaining,0.35,40556,521
Chaining,0.4,41403,682
Chaining,0.45,49523,900
Chaining,0.5,58317,1136
Chaining,0.55,190076,1344
Chaining,0.6,442423,1559
Chaining,0.65,132490,1810
Chaining,0.7,105077,2236
Chaining,0.75,106266,2355
Chaining,0.8,115967,2800
Chaining,0.85,123479,3022
Chaining,0.9,130071,3414
